subject,question,answer,possible_answers,
general knowledge,Name the densest jungle in the world?,The Amazon rainforest,Amazon,The amazon
general knowledge,Name the smallest continent?,Australia,The australia,Australia is  the smallest continent
general knowledge,Which sugar is maximum in honey?,Fructose,,
general knowledge,Who invented the Telephone?,Alexander Graham Bell,Alexander Bell,Bell
general knowledge,Which is the hottest planet in our solar system?,Venus,The venus,
general knowledge,Which planet in our Solar System has thousands of spectacular rings around it?,Saturn,The saturn,
general knowledge, Name a bird that lays the largest eggs?,Ostrich,The ostrich,
general knowledge,Name the National Heritage Animal of India?,Elephant,The elephant,
general knowledge, Which is the tallest mountain in the world?,Mount Everest,,
general knowledge,Which animal is known as the 'Ship of the Desert"?,Camel,The Camel,
general knowledge,Name the National bird of India?,The Peacock,Peacock,Peacock is the national birf of india
general knowledge,What is the National Anthem of India?,Jana Gana Mana,jana Gana,
general knowledge,What is the National song of India?,Vande Mataram,,
general knowledge,Name the gas which is filled in balloons?,Helium,,
general knowledge,Who is known as the Father of the Indian Constitution?,Dr B. R. Ambedkar,Dr. Babasaheb Ambedkar,
general knowledge,Who was the first woman President of India?,Pratibha Patil,Pratibhatai Patil,
general knowledge,What is the National Animal of India?,Tiger,Tiager,
general knowledge,What is the National Bird of India?,Indian Peacock,Peacock,
general knowledge,What is the National Flower of India?,Lotus,,
general knowledge,What is the National Song of India?,Vande Mataram,,
general knowledge,Name the National tree of India?,Banyan tree,,
general knowledge,What is the capital of India?,New Delhi,Delhi,dilhi
general knowledge,Name the largest planet of our Solar System?,Jupiter,,
general knowledge,Name the largest mammal?,Blue Whale,,
general knowledge,Which colour symbolises peace?,White,,
general knowledge,Name the house made of ice?,Igloo,The igloo,
general knowledge,Which is the smallest month of the year?,February,,
general knowledge,Name the biggest continent in the world?,Asia,,
general knowledge,Who is the first citizen of India?,The President of India ,President of India ,President 
general knowledge,Who was the first Prime Minister of India?,Pandit Jawaharlal Nehru,Jawaharlal Nehru,
general knowledge,Name the first man to walk on the Moon?,Neil Armstrong,Armstrong,
general knowledge,Who gave the universal law of gravitation?,Issac Newton,Newton,
general knowledge,Name the largest 'Democracy' of the world?,India,,
general knowledge,Name the National game of the USA?,Baseball,,
general knowledge,Which continent is known as the dark continent?,Africa,,
general knowledge,Who invented Radio?,Guglielmo Marconi,,
general knowledge,Who is the real founder of Microsoft?,Bill Gates,Paul G. Allen,
general knowledge,Name the largest ocean in the World?,Pacific Ocean,,
general knowledge,Name the folk dance of Assam?,Bihu,,
general knowledge,Name one heavy metal?,Gold.,,
general knowledge,Name the 4th planet of our solar system?,Mars.,,
general knowledge,Where is Gir National Park located?,Gujarat.,in gujrat,
general knowledge,Which animal can live without drinking water for many days?,Camel.,,
general knowledge,Who penned the book 'Wings of Fire'?,APJ Abdul Kalam,,
general knowledge,Delhi is situated on the bank of which river?,Yamuna,,
general knowledge,Which city is called Pearl City?,Hyderabad.,,
general knowledge,Victoria Memorial is located in which city?,Kolkata.,In kolkata,
general knowledge,Name one famous crop of Assam?,Tea,,
general knowledge,Name the hardest substance available on Earth?,Diamond,The diamond,
science,Which animal lays eggs?,Duck,,
science,What is Earth only natural satellite?,Moon,The Moon,
